country,year,happinessrank,happinessscore,gdp,family,lifeexpectancy,freedom,trust,generosity
Portugal,2017,89,5.195,1.31518,1.36704,0.79584,0.49847,0.01587,0.09510
Bosnia and Herzegovina,2017,90,5.182,0.98241,1.06934,0.70519,0.20440,0.00000,0.32887
Honduras,2017,91,5.181,0.73057,1.14394,0.58257,0.34808,0.07335,0.23619
Macedonia,2017,92,5.175,1.06458,1.20789,0.64495,0.32591,0.06028,0.25376
Somalia,2017,93,5.151,0.02264,0.72115,0.11399,0.60213,0.28241,0.29163
Vietnam,2017,94,5.074,0.78855,1.27749,0.65217,0.57106,0.08763,0.23497
Nigeria,2017,95,5.074,0.78376,1.21577,0.05692,0.39495,0.02612,0.23095
Tajikistan,2017,96,5.041,0.52471,1.27146,0.52924,0.47157,0.14638,0.24900
Bhutan,2017,97,5.011,0.88542,1.34013,0.49588,0.50154,0.17338,0.47405
Kyrgyzstan,2017,98,5.004,0.59622,1.39424,0.55346,0.45494,0.03944,0.42858
Nepal,2017,99,4.962,0.47982,1.17928,0.50413,0.44031,0.07298,0.39410
Mongolia,2017,100,4.955,1.02724,1.49301,0.55778,0.39414,0.03290,0.33846
South Africa,2017,101,4.829,1.05470,1.38479,0.18708,0.47925,0.07251,0.13936
Tunisia,2017,102,4.805,1.00727,0.86835,0.61321,0.28968,0.08672,0.04969
Palestinian Territories,2017,103,4.775,0.71625,1.15565,0.56567,0.25471,0.08928,0.11417
Egypt,2017,104,4.735,0.98970,0.99747,0.52019,0.28211,0.11438,0.12863
Bulgaria,2017,105,4.714,1.16146,1.43438,0.70822,0.28923,0.01105,0.11318
Sierra Leone,2017,106,4.709,0.36842,0.98414,0.00556,0.31870,0.07110,0.29304
Cameroon,2017,107,4.695,0.56431,0.94602,0.13289,0.43039,0.05131,0.23630
Iran,2017,108,4.692,1.15687,0.71155,0.63933,0.24932,0.04876,0.38724
Albania,2017,109,4.644,0.99619,0.80369,0.73116,0.38150,0.03986,0.20131
Bangladesh,2017,110,4.608,0.58668,0.73513,0.53324,0.47836,0.12372,0.17226
Namibia,2017,111,4.574,0.96443,1.09847,0.33861,0.52030,0.09315,0.07713
Kenya,2017,112,4.553,0.56048,1.06795,0.30999,0.45276,0.06464,0.44486
Mozambique,2017,113,4.550,0.23431,0.87070,0.10665,0.48079,0.17944,0.32223
Myanmar,2017,114,4.545,0.36711,1.12324,0.39752,0.51449,0.18882,0.83808
Senegal,2017,115,4.535,0.47931,1.17969,0.40936,0.37792,0.11546,0.18347
Zambia,2017,116,4.514,0.63641,1.00319,0.25784,0.46160,0.07821,0.24958
Iraq,2017,117,4.497,1.10271,0.97861,0.50118,0.28856,0.10722,0.19964
Gabon,2017,118,4.465,1.19821,1.15562,0.35658,0.31233,0.07605,0.04379
Ethiopia,2017,119,4.460,0.33923,0.86467,0.35341,0.40884,0.16546,0.31265
Sri Lanka,2017,120,4.440,1.00985,1.25998,0.62513,0.56121,0.07365,0.49086
Armenia,2017,121,4.376,0.90060,1.00748,0.63752,0.19830,0.02667,0.08349
India,2017,122,4.315,0.79222,0.75437,0.45543,0.46999,0.09223,0.23154
Mauritania,2017,123,4.292,0.64846,1.27203,0.28535,0.09610,0.13696,0.20187
Congo (Brazzaville),2017,124,4.291,0.80896,0.83204,0.28996,0.43503,0.07962,0.12085
Georgia,2017,125,4.286,0.95061,0.57061,0.64955,0.30941,0.25167,0.05401
Congo (Kinshasa),2017,126,4.280,0.09210,1.22902,0.19141,0.23596,0.06024,0.24646
Mali,2017,127,4.190,0.47618,1.28147,0.16937,0.30661,0.10497,0.18335
Ivory Coast,2017,128,4.180,0.60305,0.90478,0.04864,0.44771,0.13006,0.20124
Cambodia,2017,129,4.168,0.60177,1.00624,0.42978,0.63338,0.06811,0.38592
Sudan,2017,130,4.139,0.65952,1.21401,0.29092,0.01500,0.08985,0.18232
Ghana,2017,131,4.120,0.66722,0.87366,0.29564,0.42303,0.02534,0.25692
Ukraine,2017,132,4.096,0.89465,1.39454,0.57590,0.12297,0.02303,0.27006
Uganda,2017,133,4.081,0.38143,1.12983,0.21763,0.44319,0.05707,0.32577
Burkina Faso,2017,134,4.032,0.35023,1.04328,0.21584,0.32437,0.12033,0.25086
Niger,2017,135,4.028,0.16193,0.99303,0.26851,0.36366,0.13857,0.22867
Malawi,2017,136,3.970,0.23344,0.51257,0.31509,0.46691,0.07271,0.28717
Chad,2017,137,3.936,0.43801,0.95386,0.04113,0.16234,0.05358,0.21611
Zimbabwe,2017,138,3.875,0.37585,1.08310,0.19676,0.33638,0.09538,0.18914
Lesotho,2017,139,3.808,0.52102,1.19010,0.00000,0.39066,0.11909,0.15750
Angola,2017,140,3.795,0.85843,1.10441,0.04987,0.00000,0.06972,0.09793
